;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxy
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a 工
iwga 渰
iwga 㵸
iwgc 潊
iwgd 湀
iwgf 塗
iwgf 㽏
iwgg 洤
iwgj 澮
iwgj 鼡
iwgn 潝
iwgo 㵯
iwgq 洬
iwgt 漵
iwgt 瀲
iwgw 澰
iwgw 㶑
iwhe 滫
iwhn 滺
iwho 㶖
iwhs 滌
iwht 浟
iwkh 㳞
iwkq 涗
iwks 湺
iwn 㲹
iwrq 㵚
iwry 沨
iwry 㳇
iwsy 㳜
iwtf 㳝
iwtj 渢
iwu 氼
iwug 涖
iwvt 洢
iwwa 溣
iwwg 瀸
iwxc 潑
iwxn 沎
iwy 汃
iwy 汄
iwyf 準
iwyj 蠽
iwyk 浛
iwyk 滄
iwyl 盕
iwym 㵅
iwyn 汵
iwyn 淰
iwyo 潐
iwys 潗
iwyv 湌
iwyy 汎
ixbg 渳
ixde 漲
ixet 泑
ixey 湪
ixg 澠
ixgr 瀰
ixiy 淥
ixjm 㵒
ixkj 漒
ixti 㳽
ixwy 濰
ixxn 沘
ixxr 湝
iybb 漷
iybh 涥
iybt 潡
iyca 㳰
iyce 淯
iycq 㳘
iycs 㳿
iycy 瑬
iyek 㵝
iyey 灜
iyey 㳖
iyfj 㶆
iygn 乼
iygx 㗟
iyiy 涼
iyjg 済
iyjg 湻
iyjg 濟
iyke 滖
iyke 瀼
iyle 瀤
iylt 澟
iymk 滈
iyna 㴜
iync 滬
iynd 涙
iynd 淚
iyni 㴃
iynn 汒
iyns 淭
iyoa 㴒
iyod 湙
iyoy 洂
iyps 渟
iypw 湸
iyry 灕
iyt 汸
iytb 湤
iytd 㵀
iytf 滸
iyto 溈
iytw 㶛
iyty 㡀
iyuh 渧
iyuk 滳
iyxl 滀
iyxs 灤
iyxx 灣
iyxy 澭
jaak 暱
jaas 蠂
jaay 䗃
jabj 昻
jada 蠎
jada 㬒
jaer 昮
jagg 曄
jagg 曅
jagg 䖱
jagk 畢
jago 鷝
jagt 㪤
jaj 㫒
jajd 暯
jajn 䗶
jajv 蝘
jajy 蠇
jakg 暵
jakg 螼
jako 曣
jaky 蠸
jaky 㬮
jalj 蠴
jamd 暎
jamd 蝧
jamw 曂
jamw 蜹
jamy 暪
jamy 蟎
jang 昛
jang 蚷
jano 煚
jape 曚
jaqh 螮
jaqt 曔
jatn 蠮
javj 蠨
javw 蟏
jawb 㿺
jawc 㬦
jawy 晎
jawy 謈
jber 朂
jbf 㫗
jbg 虸
jbhc 㫞
jbib 蜬
jbkg 蟶
jbmf 曓
jbmh 昢
jbmh 䖦
jbmi 㬧
jbmo 㬥
jbn 虵
jby 蚾
jbyy 昅
jcaj 昪
jccc 蝃
jcko 㬃
jcmu 䝨
jcn 蚆
jcns 蝚
jcoy 螞
jcwt 晙
jdae 䘈
jday 曞
jday 蠣
jdbn 蚅
jdcy 蛂
jdeg 蛕
jdey 䗅
jdfe 蜄
jdfn 晇
jdfo 鷐
jdfo 㬄
jdg 䖨
jdgf 蟵
jdgv 蝛
jdhg 蚽
jdhi 䗩
jdhn 㬩
jdhv 暳
jdjg 蛨
jdjj 昦
jdjn 晻
jdlf 蝒
jdmd 蝡
jdmd 㬉
jdmy 暊
jdmy 蝢
jdnn 晠
jdny 蚘
jdny 蛖
jdrr 䗮
jdsk 䗁
jdu 旲
jdui 暸
jdui 蟟
jduw 蟩
jdwg 蜯
jdwj 暙
jdwr 蟖
jdww 蛺
jdxy 昽
jedn 㦔
jedy 猒
jeee 蛠
jef 冐
jefy 蛶
jeg 蚏
jegc 蝯
jegc 㬊
jege 勗
jegy 琞
jelf 㬭
jeou 焽
jepa 曌
jept 曖
jeqn 晲
jeqn 蜺
jeqo 䳟
jerf 㿢
jet 㫑
jetb 暚
jeto 蟡
jeto 㬙
jexd 螇
jfag 䘂
jfam 蟦
jfaq 暁
jfay 蠘
jfcb 䖼
jfce 蜐
jfcl 䗘
jfcy 蚑
jfcy 㫢
jfdj 曘
jfdo 黙
jff 圼
jffc 曇
jffg 晆
jffq 曉
jffq 蟯
jffu 㫭
jffy 時
jfh 旪
jfh 虷
jfhc 㪋
jfkg 蛣
jfkk 暿
jfkk 蟢
jfmf 暔
jfoo 㬨
jfou 黒
jfou 㫱
jfpb 㫲
jfpu 曀
jfqn 蚖
jfqo 䳚
jfsy 䗋
jftb 㫴
jftj 暏
jftj 蝫
jftj 螧
jftx 蛯
jfup 蟽
jfwc 㬡
jfwt 䗀
jfwy 曤
jfy 䖞
jgah 蚈
jgbn 旽
jgcf 晊
jgey 䖶
jgfh 旴
jgfh 虶
jgfu 㝵
jgg 蚟
jghf 昰
jghg 韙
jghj 㓳
jghm 題
jgho 鶗
jgho 䗡
jghp 遈
jght 尟
jght 晸
jghy 㼵
jgiy 蛷
jgjf 暷
jgjg 晅
jgkh 螎
jgkh 㬏
jgkh 䗖
jgkj 曧
jgkn 鼌
jglg 䗵
jgmh 昁
jgmw 昞
jgmw 昺
jgmw 蛃
jgmx 曬
jgmy 蜽
jgof 㫫
jgoj 㬐
jgqa 㦹
jgqb 㫕
jgqj 蛚
jgqj 䬗
jgqo 鴠
jgqp 逿
jgqr 昜
jgqt 敭
jgsy 昩
jguf 蚲
jgva 蛵
jgvh 蜨
jgvh 㫸
jgxf 鼂
jgxi 螦
jgxw 蛦
jgxy 蝳
jgy 㫙
jhdd 暃
jhdd 㫵
jhen 毷
jhf 㫔
jhgf 蝆
jhgf 䖹
jhhc 㪞
jhhy 蠷
jhhy 㬬
jhjh 晫
jhjr 暢
jhkg 蛅
jhll 曥
jhll 蠦
jhpk 迧
jhqb 㒻
jhqn 晛
jhqn 蜆
jhqy 畃
jhsl 朄
jhwn 䗂
jhxe 蟕
jhy 虲
jias 蟝
jigq 晄
jimk 㫾
jiph 蟐
jipl 蟷
jipo 曭
jitt 䖢
jiwg 蝋
jiwk 㬁
jjfh 晘
jjg 昍
jjg 蚎
jjgg 蜵
jjgg 㫜
jjgg 䖧
jjgh 蝭
jjgq 㫯
jjgr 暘
jjgr 蝪
jjhg 蝐
jjje 曑
jjje 曟
jjjg 晿
jjjg 曐
jjjg 曡
jjjg 䗉
jjjl 蠱
jjjn 蝿
jjju 蟲
jjjx 㬪
jjlc 蟃
jjlg 蝹
jjlg 㬈
jjmy 㬂
jjnb 㫣
jjou 焸
jjpv 暥
jjqn 暍
jjqr 晹
jjqw 蠍
jjrh 㫀
jjtg 暒
jjtg 䗌
jjug 䗑
jjxo 㬤
jjxo 䗾
jjxx 蜫
jjy 䖵
jjyi 暻
jkeg 蜎
jkgf 冔
jkhh 蚛
jkkf 暺
jkkf 蟬
jkkn 䗭
jkkt 曮
jkqn 㫛
jlag 蟈
jlcb 鄤
jleg 蝟
jlf 昷
jlff 曎
jlff 蠌
jlff 䘃
jlfo 蟔
jlge 蠉
jlh 蛼
jlh 䖬
jljf 蜖
jlll 蠝
jlqj 蠋
jlrh 螹
jlry 㼔
jlty 蜠
jlvg 螻
jlxy 曪
jlyr 㬅
jmaw 晪
jmeg 螖
jmfg 蚦
jmfk 晭
jmgk 晍
jmgu 暟
jmgu 螘
jmhm 顒
jmhm 颙
jmhy 㼴
jmj 旵
jmjn 㬞
jmmv 蠳
jmnk 蝸
jmrr 蛧
jmun 蝄
jmwk 蠵
jmy 蛽
jmyg 蚒
jnaj 㬆
jndg 蜛
jnen 毾
jng 蛡
jngg 暅
jnhc 蝦
jnhe 蝑
jnhg 丱
jnhg 蝞
jnhg 䖡
jnhh 虯
jnij 曯
jnij 蠾
jnkg 暐
jnnw 蟤
jnrt 旸
jntt 䖩
jnty 曵
jnwe 蟉
jnwe 㬔
jnwy 蚗
jnwy 蠗
jnxn 蚭
jnyy 蚇
joao 蟅
joaw 曠
jocy 昿
jodm 顕
jooe 蟧
joos 蠑
jooy 晱
jooy 䗊
joqg 暽
joqg 䗲
joss 䗫
jou 㫧
jouf 曗
jouf 㬣
joug 䗱
jout 蝷
jovh 䗤
jovi 䗧
jovk 㷖
joxx 螰
joy 炚
jpdi 曢
jpdk 螛
jpdn 䘆
jpfq 晥
jpfq 䖾
jpgg 蝖
jpgh 蝊
jpgm 蠙
jpgw 螾
jplh 暉
jplj 暈
jpng 䗆
jpns 䗿
jpoc 䗏
jpqb 晼
jpta 䖳
jpvg 㫨
jpvo 鷃
jpvy 䨃
jpwf 螲
jpyu 㬕
jqan 蚔
jqay 蚳
jqay 㫝
jqdb 蛫
jqdo 㬗
jqdy 曕
jqeg 蜭
jqeg 蠏
jqgj 曻
jqiy 晀
jqiy 䖴
jqjg 㫬
jqjg 䖲
jqkg 昫
jqkg 蚼
jqkg 㫥
jqkq 晩
jqlg 蜔
jqmd 㬇
jqmy 蝜
jqnn 蚫
jqoy 螐
jqoy 䗇
jqoy 䗨
jqoy 䳋
jqqy 蛥
jqrc 敡
jqrn 惖
jqrn 䗓
jqro 鶍
jqrp 逷
jqrt 昒
jqsy 蟂
jqtb 蜪
jqug 蚐
jqvo 㬠
jqwe 毼
jqwe 㔠
jqwg 鹖
jqwj 㓭
jqwm 䫘
jqwo 鶡
jqwy 欥
jqwy 㰩
jqyl 䗜
jqyy 旳
jqyy 虳
jrbt 蝬
jrcy 昄
jrcy 蛌
jrdf 暤
jrdh 晞
jrdh 䖷
jrey 䖰
jrh 蚚
jrhw 螔
jrhy 䖣
jrif 暭
jrnr 㫹
jroy 暣
jrqc 螝
jrrh 晣
jryt 曒
jryy 蚸
jsdm 顆
jseu 褁
jsfg 䗎
jsfi 㬓
jsfy 㬍
jsfy 䗚
jsgy 㼫
jsh 虰
jshc 敤
jsjg 蝀
jsjh 曋
jsjh 蟫
jskj 蝲
jslg 暕
jssy 晽
jsty 㪙
jswc 蜙
jsy 蚞
jsy 蜅
jtaj 昇
jtan 虴
jtbt 蜏
jtdk 蟜
jtdp 䗦
jtfh 旿
jtfk 晧
jtfp 䗢
jtga 䗗
jtgf 蝩
jtgg 甠
jtgg 﨡
jtgj 㫼
jtgo 蟱
jtgo 䗼
jtgy 昳
jtgy 蛈
jthc 蝂
jthd 螑
jthf 曍
jths 暞
jtjs 蟍
jtkg 蛒
jtky 蝺
jtln 蟌
jtlw 䘊
jtlx 螕
jtmk 晑
jtmk 䖮
jtnh 蜁
jtnh 螄
jtnn 㫓
jttp 䗴
jtuu 㫡
jtuy 昸
jtvb 䗻
jtvg 蜲
jtwh 暰
jtwh 䗥
jtyg 暀
jtyr 㧛
jtyy 䛓
juag 暛
juah 蛢
jued 曨
jued 蠬
jugb 㒽
jugh 㫠
jugy 蟻
jugy 㬢
jujf 曈
jujh 暲
jujn 䗷
julj 㬝
juog 䗒
jupe 䝉
juqm 蠀
jury 晈
jutd 螏
juu 昗
juvw 螊
juwl 螠
juxn 䗹
juxt 晜
juxx 螆
jvaf 蟳
jvbh 蝍
jvf 妟
jvfj 蟰
jvfj 㬘
jvip 曃
jviy 㫽
jvkg 蛁
jvln 蠟
jvph 㫶
jvpy 螁
jvqo 䳛
jvt 旫
jvt 虭
jvy 蛝
jwam 蟘
jway 蚮
jwcn 暡
jwcn 螉
jwcy 昖
jwet 昣
jwfh 䖫
jwfi 暩
jwfy 蚹
jwga 蜦
jwga 㫻
jwgn 㬛
jwgu 䗳
jwhe 䗛
jwhs 螩
jwi 㬰
jwkg 㫟
jwkq 蛻
jwnd 㬋
jwnd 䗔
jwrr 䗄
jwry 蚥
jwvt 昐
jwvt 蚡
jwvt 蛜
jwwg 䘋
jwyc 昤
jwyc 蠄
jwyg 蜼
jwyg 㫿
jwyk 蛿
jwyk 螥
jwyn 昑
jwyn 蚙
jwyo 蟭
jwyp 䗯
jwyy 䖠
jxb 㫐
jxey 蝝
jxg 蠅
jxjh 昲
jxjm 曊
jxmy 䗰
jxtb 曏
jxxf 蜌
jxxg 鹍
jxxm 顯
jxxo 鵾
jxxo 㬎
jxxr 蝔
jxxw 歞
jxxw 蟣
jybb 㬑
jybg 蜳
jybg 㬀
jyce 蜟
jyck 䖻
jyct 㬚
jyey 㬯
jyfj 蠩
jyij 㔀
jyik 䯫
jyim 顥
jyjg 蠐
jyji 㬌
jyke 蠰
jylg 蟺
jymk 暠
jynd 蜧
jynh 䗈
jyni 昹
jyni 㫤
jynk 㬖
jynt 昈
jynw 晐
jype 蠔
jyps 蝏
jyr 昘
jyry 㒿
jyt 昉
jyt 蚄
jytb 暆
jytb 㒾
jyth 暶
jyu 旻
jyuj 蟙
jyuk 螪
jyvy 蜋
jyvy 㫰
jywf 晬
jywf 蜶
jywn 蚢
jyxx 䘎
jyxy 昡
jyxy 蚿
jyy 旼
kaah 㖑
kaal 㘕
kadn 㘃
kafc 囈
kaff 嚡
kafh 㗆
kafx 㗾
kag 叿
kagg 嘩
kahl 嚂
kahm 㘋
kahq 囕
kajd 嗼
kajg 唶
kajj 囆
kajy 噧
kakg 嘆
kakg 㖪
kakk 嘔
kako 嚥
kaky 嚾
kamf 㗕
kamy 唝
kamy 嗊
kann 呭
kaqh 㗣
kaqj 噆
kaqr 㖴
kaqt 囌
kaul 囒
kawc 嚄
kawe 嚿
kaws 嗏
kbbb 囁
kbbh 㖿
kbcy 㖩
kbeg 唨
kbf 咠
kbg 吇
kbg 咡
kbib 㖤
kbn 吔
kbqb 㗦
kcce 嘇
kcee 㗈
kckc 䣈
kckg 咍
kcnk 噊
kcns 㖻
kcor 㘐
kcoy 嗎
kdag 咗
kdby 㗞
kdcy 吰
kdcy 㕹
kdea 嘠
kdeb 喐
kdeg 哊
kdeg 㗅
kdet 嚘
kdfa 喯
kdfe 㖘
kdff 啀
kdff 嗕
kdfi 㖠
kdfn 咵
kdgg 㖅
kdgv 喴
kdhb 囓
kdhd 喫
kdhh 㕩
kdhh 㗏
kdhi 噄
kdhn 嚖
kdhv 嘒
kdhy 吥
kdjd 嚈
kdjg 咟
kdjn 唵
kdlf 喕
kdmh 咘
kdmj 㖇
kdmy 順
kdmy 㖽
kdny 哤
kdny 㕱
kdth 嚦
kdu 㕦
kdwj 㖺
kdwn 啿
kdww 唊
kdwy 唭
kdyl 㗐
kebg 哹
kebn 啂
kecy 㖬
keee 嗋
keeg 㗖
kef 肙
kefy 哷
kegc 喛
kegy 瓹
kejh 剈
keks 㗎
ken 㕰
keoy 㘀
kepc 㖟
kept 噯
keqn 唲
keqo 鵑
kerf 㗗
kesy 啋
ketb 嗂
keto 噅
kevg 哸
kexd 嗘
kfam 噴
kfbn 哋
kfcy 呍
kfcy 呿
kffh 啩
kffi 㘑
kffq 嘵
kfg 咁
kfhy 唗
kfiy 呩
kfkf 㘆
kflk 啚
kfnf 嚋
kfoo 嚇
kfpb 哱
kfph 嚔
kfsy 㖼
kftj 啫
kftt 嘋
kftx 咾
kfuf 啈
kfup 噠
kfwt 㖫
kfy 吋
kfyg 㘊
kgah 咞
kgah 哢
kgbm 噸
kgcf 咥
kgdd 㗺
kgeg 啨
kgfg 啞
kgfn 噁
kgg 㕵
kgg 㕶
kggn 噖
kgho 嘕
kgjg 咺
kgkg 唖
kgku 哣
kgmw 唡
kgmx 囇
kgmy 啢
kgmy 嘖
kgnf 㙱
kgng 鸮
kgnm 䪽
kgno 鴞
kgnv 飸
kgnw 號
kgny 咓
kgqm 嚽
kguf 呯
kgvh 啑
kgvv 啛
khaa 踐
khab 䠜
khag 㖸
khah 蹛
khaj 踖
khaj 躤
khak 蹃
khan 跇
khan 䟠
khav 䟙
khay 蹣
khay 躪
khay 䠰
khbb 躡
khbc 踙
khbh 嚙
khbi 䠫
khbn 踂
khbs 跥
khcc 䟾
khce 踴
khcf 䠁
khck 蹫
khcn 跁
khct 踆
khct 䟥
khcu 㕜
khcy 䟕
khde 蹖
khde 䟴
khde 䠆
khde 䠒
khdf 䠑
khdg 跍
khdh 噦
khdi 蹽
khdi 䠞
khdj 踳
khdk 踎
khdk 踦
khdn 踸
khdp 跶
khdw 踑
kheb 䠛
khef 䟹
kheg 跀
kheg 跙
khf ⻊
khfb 踋
khfb 踍
khfc 跂
khfc 䟩
khff 跱
khff 踛
khff 躊
khfh 跿
khfj 踷
khfj 䟚
khfp 躂
khfq 蹺
khft 踜
khfw 蹎
khfy 跊
khga 嚱
khga 踁
khgb 䣒
khgd 囐
khgf 哶
khgf 趶
khgf 跮
khgh 踕
khgh 䟛
khgj 蹧
khgj 㘌
khgl 踾
khgm 貴
khgm 蹟
khgm 䫭
khgp 遺
khgr 躎
khgw 跠
khgx 躧
khgy 䟵
khgy 䟼
khgy 䠃
khhc 踧
khhc 躩
khhd 䠊
khhd 䠐
khhe 躆
khhg 䠡
khhh 踄
khhh 䠩
khhk 跕
khhm 嚬
khhs 䠕
khhx 跐
khhy 躣
khhy 㘗
khhy 䟔
khie 踃
khie 蹐
khie 䠌
khif 蹚
khik 䠀
khit 䟞
khit 䠥
khjg 噓
khjg 蹕
khjh 啅
khjh 踶
khjr 踼
khjt 跩
khkd 噳
khkf 䠤
khkg 呫
khkh 踀
khkm 蹪
khkm 䠝
khlg 䟧
khll 嚧
khlp 蹥
khlt 䠅
khmh 䟖
khmk 踻
khmw 䟜
khmw 䠄
khmy 䟺
khna 䟨
khnc 䠍
khnd 䟳
khne 蹍
khne 蹘
khnf 䠎
khnj 䠧
khnj 䠱
khnk 跼
khnm 䠇
khnt 䟤
khnu 躃
khnw 趹
khnw 䠣
khnx 跜
khny 躍
khob 噛
khof 躕
khog 蹸
khoo 蹠
khox 蹗
khpb 踠
khpj 蹜
khpk 迚
khpn 躥
khpn 䠉
khpy 䠚
khqa 䟗
khqa 䟸
khqh 踭
khqi 䟢
khqk 跔
khql 蹓
khqn 哯
khqo 踘
khqo 蹨
khqq 跢
khqy 䟡
khqy 䠨
khrf 䠋
khrg 䟬
khrh 踲
khrm 躓
khrr 䟷
khrs 躒
khrt 躈
khrw 蹏
khry 跅
khsg 跴
khsg 蹅
khsh 䟓
khsk 跒
khsk 踈
khsm 䟱
khsm 䠭
khsn 蹮
khsp 躚
khsy 䟣
khtc 䟦
khtd 䟯
khtd 䠗
khtf 嘑
khtf 跦
khtf 䟭
khtg 跭
khtg 躌
khth 蹝
khth 蹤
khtj 䠦
khtk 蹻
khtm 躦
khtn 趷
khto 踿
khto 鷺
khtp 䟪
khts 䟰
khtv 踒
khtx 踇
khtx 䠘
khua 跰
khub 踡
khub 躑
khud 躘
khue 䠔
khuf 蹡
khuf 蹱
khug 跘
khug 䠓
khuk 䠖
khul 躝
khun 躢
khuo 踫
khuo 䠮
khut 躨
khuv 踥
khuy 躙
khvi 䟿
khvi 䠈
khvp 蹆
khwa 踚
khwa 䠯
khwb 䠬
khwc 跉
khwc 蹳
khwc 䟝
khwd 䟮
khwd 䠏
khwe 跈
khwf 䟶
khwg 跧
khwh 踨
khwj 踰
khwk 跲
khwk 蹌
khwn 趻
khwn 踗
khwn 蹹
khws 䟻
khwy 踓
khwy 㖵
khxh 躖
khxi 㗪
khxm 蹞
khxm 躀
khxn 䠪
khxs 喍
khyd 蹢
khye 躟
khyf 踤
khyg 跓
khyj 躋
khyk 䟽
khyo 跡
khyq 䟲
khyt 趽
khyt 蹾
khyw 䟘
khyy 㗔
khyy 䠙
kibv 嘙
kiit 唦
kimy 嗩
kipf 嘡
kipj 嚐
kipl 噹
kith 㗂
kiwa 㘍
kjag 嗶
kjai 嚗
kjfg 㖏
kjfh 哻
kjfh 嘢
kjgg 呾
kjgh 㖷
kjgr 啺
kjlg 嗢
kjnt 㖂
kjsg 嗮
kjug 喅
kjwy 雖
kkak 噐
kkak 嚚
kkbh 郘
kkcn 唈
kkco 駡
kkdk 嚻
kkdk 囂
kkdt 嚴
kkej 哵
kkfb 卾
kkfj 㓵
kkfm 顎
kkfn 咢
kkfo 鶚
kkfp 遌
kkfq 覨
kkg 吅
kkgn 呺
kkgn 㕺
kkhm 嘳
kkhy 哫
kkja 戰
kkjb 鄲
kkje 囅
kkje 辴
kkjf 單
kkjk 丳
kkjo 鷤
kkkb 鄵
kkkd 碞
kkke 氉
kkkf 嘽
kkkj 劋
kkkk 㗊
kkkm 喦
kkkm 嵒
kkkn 㗁
kkks 喿
kkkt 㘙
kkld 獸
kklf 㽞
kklk 嘼
kklx 鼉
kkmw 㖞
kknk 嘂
kkpf 斝
kkpg 䑝
kkqn 呪
kkub 䣞
kkup 遻
kkut 㖾
kkvt 㖐
kkwy 呮
kkyh 喌
klag 嘓
klff 嚜
klff 㘁
klfk 嚸
klg 呬
klge 噮
klgf 囀
klgy 啯
klh 唓
klip 嚃
klmy 嘪
klpy 嗹
klqj 噣
klqy 啰
klty 㖥
klup 嚺
klvg 嘍
klxy 囉
klyt 㗄
kmae 噥
kmag 㖆
kman 翤
kmaw 唺
kmbh 鄖
kmdf 嘊
kmdg 啱
kmdm 䫟
kmdy 咉
kmeg 嗗
kmet 勛
kmfg 呥
kmgk 哃
kmhq 䚋
kmmv 嚶
kmnk 喎
kmnp 㗻
kmqo 鶰
kmty 吶
kmu 員
kmuj 囎
kmwn 㖗
kmwy 嗺
kmxx 㗀
kmy 唄
knaj 㗃
knan 呡
knbm 啒
knbt 噉
kndg 啹
kndu 吳
kngk 呞
kngw 呉
knhc 㗇
knhg 吜
knij 囑
knkg 喡
knnw 噀
knrg 㗩
knt 㕧
kntt 咇
knwe 嘐
knwy 吷
knwy 嚁
knyf 噿
knyw 㕽
knyy 呎
koac 喥
koao 嗻
koaw 嚝
kohx 㖢
kooe 嘮
koos 㘇
koow 㗵
koqg 噒
kosd 嚰
kosr 嚤
kosx 嚒
kouf 嚉
kouf 㗼
kovh 嘃
koy 吙
kpam 㗷
kpam 㘔
kpdk 嗐
kpfq 唍
kpgf 㗌
kplh 喗
kpns 嚀
kpqb 啘
kpqn 㕪
kptg 哰
kpvg 咹
kpwa 啌
kpwf 㗧
kpwj 噾
kpwn 㕴
kpxn 咜
kqaj 㖧
kqay 呧
kqbt 㗙
kqdd 㗋
kqdo 嘫
kqdy 噡
kqef 嘝
kqeg 啗
kqeh 唃
kqg 唫
kqiy 咷
kqjg 咰
kqjh 別
kqkg 呴
kqko 喣
kqkq 㒭
kqky 嚵
kqmd 喚
kqoj 嚕
kqoy 嗚
kqoy 鳴
kqrb 哅
kqrn 㕼
kqsy 嘄
kqto 唙
kqug 呁
kqvn 喼
kqwo 焁
kqyj 嚠
krbh 㕳
krdc 㖁
krdf 㗑
krfh 唕
krg 㕷
krgg 喤
krgk 㖃
krhw 嗁
krif 噑
krqy 啲
krsh 咑
kruf 唞
krxb 喞
krxs 嚛
kryt 噭
ksdg 喖
ksfg 㖶
ksfy 㗘
ksgg 呠
ksgg 唒
ksjg 㖦
ksjh 嘾
ksks 槑
ksly 㘄
ksrh 唽
kssy 㗚
ksvg 喓
kswq 嘜
ksww 唻
ksy 㕲
ktah 呏
ktbt 唀
ktdg 咶
ktdh 㖓
ktdk 嘺
ktdk 㖔
ktdn 㖭
ktdy 㕭
ktfe 喢
ktff 嚹
ktfh 吀
ktfh 吘
ktfk 哠
ktfm 囋
ktfy 咮
ktgb 啣
ktge 㗢
ktgf 喠
ktgh 吽
ktgh 哖
ktgo 嘸
ktgo 嚑
ktgs 哘
ktgy 呹
kthf 嘷
kthh 嘥
kthj 喒
kthj 嚊
kthp 唌
ktjf 嘚
ktjg 㗍
ktjh 唎
ktkf 呂
ktkg 啝
ktly 囖
ktnp 㗓
ktol 噃
kton 㗭
ktqi 嚟
ktqs 㘅
kttd 㗛
ktts 㗸
ktvb 㘉
ktvg 唩
ktwh 㗰
ktwk 㗳
kty 呚
kty 咊
ktyy 叺
kudy 咲
kued 嚨
kueg 㗴
kufh 呌
kug 㕸
kugb 啳
kugo 㗝
kuh 㖕
kujf 啴
kujf 噇
kujw 噷
kukg 㖣
kukq 哾
kunc 嗴
kunn 唴
kunt 㘚
kunt 㘎
kuqe 嚪
kusf 噂
kusk 㗿
kusl 㘓
kusq 嚫
kusr 噺
kute 喭
kutm 㘖
kuvw 嗛
kuwc 唥
kuxn 㘂
kuxt 㖒
kuxx 嗞
kvaf 噚
kvaq 嘅
kvfg 㗲
kvfj 嘯
kvfy 㖊
kvgh 㖀
kvhl 嚍
kviy 㖨
kvkc 嗈
kvn 㕤
kvoj 嘨
kvpc 唚
kvr 叧
kvtt 吚
kvwv 䬭
kwbn 咃
kwcy 吺
kwcy 㕬
kwfd 㘴
kwfi 㗫
kwga 啽
kwga 㖮
kwgb 喩
kwgd 㘛
kwgj 噲
kwgn 噏
kwgr 嗱
kwgs 唋
kwgw 噞
kwhg 㖉
kwjh 吤
kwld 嗰
kwqw 㰨
kwry 㕮
kwsk 哬
kwsv 嘦
kwti 喺
kwvl 㖹
kwwk 唂
kwxc 㗶
kwxn 吪
kwy 㕥
kwyk 唅
kwyk 嗆
kwym 嗿
kwyn 唸
kwyn 㗹
kwyo 鷕
kwys 㗱
kwyv 喰
kwyy 㕨
kxjh 咈
kxmk 㖰
kxqy 喲
kxsf 嚩
kxth 㘈
kxwj 㖎
kxwv 哛
kxxi 噝
kxxw 嘰
kxy 呣
kybb 㗥
kybg 啍
kybt 噋
kyey 㗒
kyiy 噈
kyjg 嚌
kymk 嗃
kynn 呝
kypw 喨
kyry 囄
kyt 㕫
kyth 㖄
kyuy 嗙
kyvy 哴
kywu 唹
kywy 囃
kywy 㖡
kyxl 㗜
kyxy 呟
kyxy 噰
kyy 呅
laay 軾
laay 輚
lafk 羇
lafl 䡷
lafo 羈
lagg 軭
lahl 轞
laht 䍓
lajh 羃
lajn 轕
lak 㘟
lakg 國
lakg 罭
lakg 㽣
lakk 䡱
laky 爴
laln 䡸
lauy 轥
lawu 異
lawy 輁
lbcy 輙
lbig 䡕
lbnn 輒
lbwb 罊
lbwd 礊
lbwi 繫
lbwj 蟿
lbwl 轚
lbwr 擊
lbws 檕
lccc 畷
lccc 罬
lccc 輟
lcce 㽩
lccs 䡦
lcdl 輽
lcee 㔥
lceo 羆
lcex 罷
lcff 圗
lcfg 軽
lci 囜
lci 㘝
lckd 囼
lckg 軩
lcmi 圎
lcnf 㙒
lcns 輮
lcns 㽥
lcnt 罞
lcou 罵
lcqn 㽙
lcwt 畯
ldbn 軛
ldcu 䍔
ldcy 軷
ldcy 䡌
ldg 軲
ldgk 輱
ldgn 轗
ldhi 囨
ldhn 䡺
ldhv 轊
ldjn 㽢
ldlf 盢
ldmd 輭
ldmj 輀
ldoj 罽
ldqw 欭
ldsk 輢
ldth 轣
ldth 䍥
ldui 轑
ldwd 輳
ldwr 䡳
ldwt 轃
ldww 㽠
ldy 軑
ldy 轪
ldyy 軚
lebf 罦
lee 㘞
leeg 輣
leeg 轁
lefy 㽟
leg 䢁
legf 罝
len 軞
leqn 輗
let 㽖
let 䡃
letg 㽒
leti 㘥
lfam 轒
lfci 囩
lfcl 圔
lfcy 転
lfcy 䡋
lfdj 轜
lfdj 㽭
lfff 罣
lffh 罫
lffy 畤
lfh 軒
lfho 㸃
lfhw 䡩
lfi 団
lfj 䍐
lfjh 畊
lfjk 囲
lfke 園
lfke 瞏
lfke 轅
lfkk 䡼
lfkw 䡿
lflf 䍣
lfnf 疇
lfoa 黭
lfob 黦
lfoc 䵥
lfoe 黲
lfof 黚
lfof 黫
lfof 䵟
lfof 䵢
lfof 䵦
lfof 䵯
lfog 䵣
lfoh 䁿
lfoj 䵞
lfoj 䵬
lfoj 䵭
lfoj 䵳
lfok 點
lfok 黬
lfok 䵱
lfol 黸
lfom 黷
lfon 黗
lfon 黤
lfon 黮
lfon 䵝
lfoq 黕
lfoq 黖
lfor 䵮
lfor 䵰
lfos 䵲
lfow 黰
lfow 㱄
